"","obs.NST","mean","stdev","Min","Quantile25","Median","Quantile75","Max","LowerWhisker","LowerHinge","Median","HigherHinge","HigherWhisker","Outlier1","Outlier2","Outlier3","Outlier4","Outlier5","Outlier6","Outlier7","Outlier8","Outlier9","Outlier10","Outlier11","Outlier12","Outlier13","Outlier14","Outlier15","Outlier16","Outlier17","Outlier18","Outlier19","Outlier20","Outlier21","Outlier22","Outlier23","Outlier24","Outlier25","Outlier26","Outlier27","Outlier28","Outlier29","Outlier30","Outlier31","Outlier32","Outlier33","Outlier34","Outlier35","Outlier36","Outlier37","Outlier38","Outlier39","Outlier40","Outlier41","Outlier42","Outlier43","Outlier44","Outlier45","Outlier46","Outlier47","Outlier48","Outlier49","Outlier50","Outlier51"
"Shoots_CK",0.0582057302711926,0.0629863979722882,0.0627183796095716,0.00686700940001363,0.0183772722003104,0.0419811171806667,0.0840754176985495,0.53113507030321,0.00686700940001363,0.0183772722003104,0.0419811171806667,0.0840754176985495,0.180798306615066,0.204590033082963,0.337125450069291,0.295962820043449,0.24854150058201,0.53113507030321,0.208840741654948,0.360425684241655,0.224448112687645,0.215586265436949,0.18571721807925,0.288678188068602,0.252737579213892,0.405534715537131,0.207332452833193,0.197792921736727,0.303105829773828,0.191237320402269,0.294063681697418,0.219824651524566,0.232627536812583,0.245538617421735,0.190383920691939,0.332205532514867,0.254738938466611,0.185021443507682,0.271104996327938,0.355830028958275,0.208717636735719,0.254090814704177,0.267096233189489,0.187852200892458,0.256892767632298,0.346214180987039,0.220324645728207,0.244232143209344,0.20402406213987,0.211719061925233,0.318571253265369,0.198597623770498,0.321883413059039,0.246939421236121,0.208923922106263,0.221907441842588,0.203363962623924,0.187032252897467,0.387584410414358,0.207566075918732,0.314600263551038,0.187740773178093,0.296625165197656,0.218013715006068
"Shoots_Anti",0.00367581959202707,0.0037065113503656,0.00094721876576342,0.000992648929151611,0.00301491587632157,0.00367816556605062,0.00434433632205946,0.00700598941413329,0.00110060802981064,0.00301491587632157,0.00367816556605062,0.00434433632205946,0.00624784806336087,0.00637604158463283,0.00668238184378139,0.00700598941413329,0.0064710287271853,0.00663769108955754,0.00635649548638999,0.00647202567569226,0.000992648929151611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roots_CK",0.458788670856222,0.446865072080894,0.0370170057088141,0.338753211922557,0.420575489315751,0.44813986562597,0.472810265249483,0.555470038035538,0.348532573323256,0.420575489315751,0.44813986562597,0.472810265249483,0.546901652615091,0.555470038035538,0.553410268983334,0.338753211922557,0.342220993249395,0.340245669610669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roots_Anti",0.488123886576169,0.478679430844205,0.0458478887758383,0.333794542621353,0.449629858201355,0.479472515721751,0.510893414483548,0.629509089315875,0.358702497728406,0.449629858201355,0.479472515721751,0.510893414483548,0.591252776535507,0.356043842382589,0.344537701633766,0.620014762346054,0.35771422697179,0.337591707290428,0.629509089315875,0.346181092890134,0.333794542621353,0.356843081573418,0.34341085834406,0.347057518752777,0.603430733537974,0.344704488069437,0.340984805030505,0.342115941067926,0.344955680170641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Soil_CK",0.844670783340052,0.839365033971305,0.0372236594963864,0.739690191492993,0.813990863198426,0.836509407300247,0.862388921024857,0.957189285185014,0.743624275299995,0.813990863198426,0.836509407300247,0.862388921024857,0.933200357382795,0.938750244055384,0.937709907687254,0.957189285185014,0.937155183046596,0.739690191492993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Soil_Anti",0.823372003502733,0.812957533903634,0.0328598455838442,0.683398975575827,0.79281827886558,0.817332083900703,0.835721020409268,0.896763040449857,0.731386680378502,0.79281827886558,0.817332083900703,0.835721020409268,0.896763040449857,0.723403408120028,0.699726221298935,0.691229100610561,0.716481020577237,0.686689014617469,0.72004625741431,0.683398975575827,0.721725046696824,0.707592544822545,0.723496239894364,0.686020017437205,0.71788145087884,0.722150917201723,0.721367898285743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhizo_CK",0.842392027191794,0.830303002610912,0.0175418481144592,0.743448113380248,0.821272968772693,0.830943357747091,0.840635117801984,0.900009699982919,0.793441338571109,0.821272968772693,0.830943357747091,0.840635117801984,0.869389597830727,0.877221790387327,0.888250830621688,0.781456232926062,0.875099429593689,0.785382225792572,0.900009699982919,0.791065762656068,0.779188703227593,0.774976676206733,0.880779284409888,0.877606644815705,0.781030953379731,0.79153428594096,0.896453629829744,0.789738779230503,0.791648086995324,0.870777423011851,0.784150167894453,0.792076752769804,0.779561651766917,0.786092305017104,0.869889527051044,0.789456940965263,0.872484646500539,0.871386858311003,0.878744277528447,0.765134887064433,0.77982380880157,0.78999540669176,0.778865445276075,0.790384506198278,0.790228746685688,0.746553278539428,0.743448113380248,0.761230867706781,0.871131858531664,0.768806538452082,0.764635643625906,0.789068945202684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhizo_Anti",0.868123931586438,0.858729985653184,0.0344402580971782,0.729148590289673,0.836741539040877,0.860081515879337,0.88222201010516,0.965888551016327,0.771822069229468,0.836741539040877,0.860081515879337,0.88222201010516,0.946847244371851,0.965888551016327,0.763510516615306,0.763600842035829,0.767454600365336,0.758202372635601,0.729148590289673,0.765898613700859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
